Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
35	5045.624	60.292614	5115.61	4957.5938	0.0802748	0.01574231	0.11122145	0.057477888	1460.6806733608246
36	4940.7744	150.65791	5190.2324	4821.2856	0.072361626	0.012264859	0.10270403	0.051307898	1503.402414560318
37	4650.7104	194.97629	4914.261	4376.3867	0.041992154	0.01351939	0.069390036	0.020678625	1544.9416074752808
38	5547.464	174.62355	5788.216	5302.745	0.04860715	0.013490183	0.07355118	0.027257144	1588.3159592151642
39	5152.62	216.8969	5505.352	4955.829	0.05356511	0.0059364727	0.068300076	0.04448827	1631.5139591693878
40	5241.865	130.30402	5413.216	5046.3403	0.045726232	0.009626325	0.06440538	0.032496206	1675.2270758152008
41	4940.6064	154.92621	5120.048	4692.9307	0.04284008	0.0065971753	0.055272594	0.033502597	1718.0426490306854
42	4723.784	899.9012	5619.783	3356.1277	0.04369709	0.0046998127	0.05456237	0.03187642	1761.198192358017
43	5621.841	132.32181	5812.7686	5457.868	0.04166838	0.004385227	0.054374915	0.03342454	1802.0561225414276
44	5705.8564	230.30635	6043.5576	5452.725	0.043876156	0.0037885774	0.0531848	0.03529148	1845.2594060897827
45	5376.0845	244.4475	5751.672	5066.655	0.043017615	0.0056421026	0.054233156	0.033008788	1887.176773071289
46	5588.71	252.15916	5988.6416	5311.512	0.04085191	0.0032662915	0.04772793	0.035534263	1929.2304682731628
47	4746.766	156.4823	4997.247	4583.6763	0.03885733	0.0025812967	0.044869546	0.03318739	1971.911509513855
48	5414.674	254.64767	5670.3413	5058.701	0.042005103	0.0055255536	0.05384536	0.0349196	2012.1860659122467
49	5232.5415	404.25302	5594.2266	4589.244	0.049192436	0.004918709	0.06224813	0.03230554	2055.241243839264
50	5843.175	24.14267	5873.7085	5806.347	0.033622626	0.007113859	0.05043155	0.020567235	2097.357036590576
51	4441.2417	596.1454	5169.261	3821.2334	0.047182776	0.0074089947	0.054909907	0.026816467	2138.4911892414093
52	6196.943	129.88019	6419.414	6104.8276	0.05782314	0.0047774343	0.069140434	0.050100762	2181.8730430603027
53	6732.8823	185.85495	6956.6416	6478.64	0.057021555	0.004292361	0.06803424	0.04919244	2225.024260520935
54	6734.8315	232.34953	6971.7163	6353.932	0.058165077	0.005283002	0.07176608	0.047533177	2265.3425800800323
55	6670.463	301.92297	7079.765	6246.678	0.05743164	0.011710101	0.07183885	0.026921218	2308.5883729457855
