Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
112	8083.881	506.11014	8569.95	7252.8467	0.041843146	0.0032607955	0.049745716	0.033285182	4625.304266691208
113	8243.227	189.48747	8392.33	7920.245	0.04080715	0.0030061249	0.048923176	0.03533288	4668.749122142792
114	6340.744	2803.559	8142.1294	1490.952	0.050557762	0.0074259173	0.07105384	0.03925113	4711.412742614746
115	8046.982	232.66852	8421.707	7784.6826	0.038897328	0.0034869695	0.04700631	0.03289081	4754.290471076965
116	8171.92	198.74149	8428.917	7875.5537	0.04187052	0.0023929256	0.047208056	0.037131064	4796.326099872589
117	8195.902	61.783672	8248.362	8097.2656	0.03899716	0.0023097105	0.043599285	0.035307534	4838.958035230637
118	8107.8423	97.37324	8231.856	7961.2734	0.0409115	0.0022947285	0.046475474	0.036823835	4877.061997652054
119	8206.819	235.97615	8596.353	7970.7993	0.04178111	0.0028979937	0.047476318	0.035822365	4916.600924730301
120	8208.361	94.11683	8365.917	8118.3457	0.04251635	0.0026939013	0.04996005	0.036408126	4957.549095869064
121	8433.343	87.09284	8554.706	8308.448	0.042986374	0.0027651272	0.049167905	0.036356203	4999.96089887619
122	8197.303	186.80374	8449.146	7942.988	0.042444818	0.00303916	0.049286824	0.03574344	5040.6382377147675
123	8315.256	160.88881	8588.176	8178.5933	0.043036014	0.0028060584	0.05091394	0.035966985	5083.834586381912
124	8371.625	136.2907	8562.823	8190.3335	0.04353659	0.003581014	0.05185829	0.036180686	5126.654648542404
125	8230.736	265.58112	8520.602	7958.176	0.044797663	0.0038142288	0.05388014	0.037418358	5169.230904817581
126	8367.793	105.01639	8523.312	8268.844	0.046054106	0.0032426184	0.052625734	0.038921203	5210.224564790726
127	8475.486	224.51393	8853.758	8269.742	0.044263057	0.0027691117	0.05026111	0.039082382	5248.413335800171
128	8548.405	140.63683	8733.483	8391.956	0.04261995	0.0033438455	0.050376054	0.03560752	5290.80048251152
129	8231.139	86.67868	8333.725	8135.727	0.041487306	0.0028746452	0.048038613	0.03532402	5333.570949792862
130	8255.443	133.51744	8379.728	8059.5615	0.04462873	0.003923026	0.055607356	0.03681178	5376.585482120514
131	8507.415	138.08858	8650.981	8279.692	0.047147166	0.00538625	0.06194519	0.038720418	5414.195554494858
132	8409.537	255.7905	8677.717	8001.6704	0.051236633	0.00608002	0.06128731	0.037633866	5451.55961728096
133	8357.156	131.17192	8575.484	8250.908	0.047190078	0.0032125693	0.05197872	0.038101558	5491.2597024440765
134	8674.605	66.593506	8777.208	8590.935	0.045419555	0.0035238997	0.0558362	0.03924442	5531.9572241306305
135	8365.546	135.35532	8519.812	8221.953	0.049757887	0.004858272	0.059570257	0.03982369	5571.1642916202545
136	8609.668	86.57724	8718.622	8476.2295	0.04872963	0.0023558885	0.052623753	0.04311623	5611.285463809967
137	8421.074	39.72141	8464.103	8357.927	0.04771254	0.0029329397	0.053928718	0.042108208	5652.376843690872
