Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
89	7624.055	200.81525	7918.115	7407.946	0.03510573	0.0043167765	0.044752173	0.027328214	3729.719053506851
90	7866.402	231.87228	8237.316	7639.0547	0.0344447	0.002823065	0.042215213	0.028851748	3769.4727218151093
91	7431.7285	184.34042	7655.5464	7156.448	0.038179744	0.0066115777	0.061928898	0.03096836	3813.35591840744
92	7292.7383	279.44858	7576.406	6828.8955	0.03405218	0.0034732365	0.04289732	0.028199907	3856.4217071533203
93	7943.168	253.11719	8311.6455	7605.6123	0.035997543	0.0033305455	0.041353196	0.028922439	3893.132777929306
94	5395.311	2448.6729	7854.3564	2936.6296	0.050807633	0.0066456427	0.062613145	0.029051771	3934.1209444999695
95	4570.6377	1723.184	6744.1826	2701.817	0.0637842	0.0075414856	0.07797858	0.04653524	3976.732305288315
96	5817.0625	1926.2606	7426.5586	2584.493	0.049674407	0.0035925834	0.05907239	0.043247722	4018.0881156921387
97	7604.574	157.03006	7831.279	7402.4185	0.039971933	0.0055796118	0.049158767	0.026629636	4061.2396943569183
98	7536.24	188.8968	7791.875	7347.29	0.036288347	0.0056180414	0.050252855	0.027889494	4103.321448087692
99	7553.373	178.32986	7755.95	7303.6226	0.04052111	0.0046891025	0.049694292	0.030627426	4145.62698841095
100	7841.5415	121.75266	7989.224	7650.398	0.03903721	0.0047041527	0.047148455	0.029012019	4189.155697345734
101	8079.8535	141.75206	8233.54	7878.5083	0.039016556	0.0055532237	0.04795669	0.026870554	4229.023433208466
102	8223.369	242.98581	8478.537	7823.1484	0.03125595	0.0036670067	0.037766725	0.023864409	4272.332696914673
103	8167.566	214.5308	8358.614	7821.2427	0.038649365	0.008821216	0.059897587	0.025893537	4313.843127250671
104	8274.539	96.57774	8409.278	8141.111	0.039528664	0.011386123	0.06750423	0.024852531	4354.462331295013
105	8185.0146	89.896576	8339.076	8115.7783	0.044629484	0.0062939273	0.057402182	0.03307627	4398.901423692703
106	8438.443	275.69196	8766.198	8023.4106	0.053232744	0.0057491176	0.06667606	0.04437677	4441.119719028473
107	8291.903	116.50152	8424.244	8104.459	0.04041274	0.0049090586	0.04930228	0.030867418	4482.886540412903
108	8287.479	155.64981	8462.388	8131.8325	0.042517234	0.0036572162	0.04919272	0.033036448	4527.545346736908
109	7984.212	305.79294	8399.837	7572.3457	0.043732107	0.0061319815	0.060621202	0.035134967	4572.505936384201
110	8110.8	283.06677	8552.043	7792.6	0.058666226	0.012687333	0.07305732	0.035290416	4616.4426600933075
111	8154.286	80.13641	8287.998	8074.774	0.058120668	0.0042750663	0.06707361	0.04798813	4660.778220176697
112	8340.1875	100.69574	8426.379	8168.6704	0.044172246	0.005920725	0.054884598	0.033690147	4704.419584035873
113	8076.885	65.5905	8129.204	7965.0786	0.057885163	0.02445523	0.11117858	0.033173002	4747.65861415863
114	7740.1543	93.31386	7896.9604	7658.628	0.09481037	0.022012712	0.13548073	0.05862754	4791.846751451492
115	7937.106	136.08783	8091.119	7720.6367	0.045987085	0.00483618	0.05853145	0.035485175	4835.138900756836
116	8234.146	139.53947	8471.683	8132.8022	0.049996123	0.006018484	0.06622905	0.03652326	4876.82311463356
117	8264.385	160.46503	8440.321	8072.02	0.047930818	0.0082651125	0.061165597	0.032915026	4920.314830780029
118	8424.394	55.3533	8512.108	8358.758	0.047756	0.00558368	0.05917361	0.033237267	4964.327553987503
119	8211.865	239.92398	8472.515	7823.241	0.050728202	0.008129224	0.06385828	0.031596463	5007.363743305206
